Skip Frames,Confidence Config,Media,Factor_escala,Count In Real,Count Out Real,Count In Estimated,Count Out Estimated,Error In Abs,Error In Rel,Error Out Abs,Error Out Rel,Error Global
10,0.4,135,0.007407407407407408,8,12,3,11,5,0.625,1,0.08333333333333333,0.3
10,0.4,185,0.005405405405405406,8,12,1,12,7,0.875,0,0.0,0.35
10,0.5,45,0.022222222222222223,8,12,1,7,7,0.875,5,0.4166666666666667,0.6
10,0.5,65,0.015384615384615385,8,12,1,11,7,0.875,1,0.08333333333333333,0.4
10,0.5,85,0.011764705882352941,8,12,0,12,8,1.0,0,0.0,0.4
10,0.5,95,0.010526315789473684,8,12,0,12,8,1.0,0,0.0,0.4
10,0.5,115,0.008695652173913044,8,12,2,12,6,0.75,0,0.0,0.3
10,0.5,135,0.007407407407407408,8,12,2,12,6,0.75,0,0.0,0.3
10,0.5,185,0.005405405405405406,8,12,1,10,7,0.875,2,0.16666666666666666,0.45
15,0.1,45,0.022222222222222223,8,12,4,7,4,0.5,5,0.4166666666666667,0.45
15,0.1,65,0.015384615384615385,8,12,4,8,4,0.5,4,0.3333333333333333,0.4
15,0.1,85,0.011764705882352941,8,12,3,12,5,0.625,0,0.0,0.25
15,0.1,95,0.010526315789473684,8,12,5,10,3,0.375,2,0.16666666666666666,0.25
15,0.1,115,0.008695652173913044,8,12,4,11,4,0.5,1,0.08333333333333333,0.25
15,0.1,135,0.007407407407407408,8,12,4,12,4,0.5,0,0.0,0.2
15,0.1,185,0.005405405405405406,8,12,6,10,2,0.25,2,0.16666666666666666,0.2
15,0.2,45,0.022222222222222223,8,12,4,7,4,0.5,5,0.4166666666666667,0.45
15,0.2,65,0.015384615384615385,8,12,4,8,4,0.5,4,0.3333333333333333,0.4
15,0.2,85,0.011764705882352941,8,12,3,12,5,0.625,0,0.0,0.25
15,0.2,95,0.010526315789473684,8,12,5,10,3,0.375,2,0.16666666666666666,0.25
15,0.2,115,0.008695652173913044,8,12,4,11,4,0.5,1,0.08333333333333333,0.25
15,0.2,135,0.007407407407407408,8,12,4,12,4,0.5,0,0.0,0.2
15,0.2,185,0.005405405405405406,8,12,6,10,2,0.25,2,0.16666666666666666,0.2
15,0.3,45,0.022222222222222223,8,12,4,7,4,0.5,5,0.4166666666666667,0.45
15,0.3,65,0.015384615384615385,8,12,4,10,4,0.5,2,0.16666666666666666,0.3
15,0.3,85,0.011764705882352941,8,12,5,11,3,0.375,1,0.08333333333333333,0.2
