Skip Frames,Confidence Config,Media,Factor_escala,Count In Real,Count Out Real,Count In Estimated,Count Out Estimated,Error In Abs,Error In Rel,Error Out Abs,Error Out Rel,Error Global
5,0.1,45,0.022222222222222223,8,12,5,8,3,0.375,4,0.3333333333333333,0.35
5,0.1,65,0.015384615384615385,8,12,4,8,4,0.5,4,0.3333333333333333,0.4
5,0.1,85,0.011764705882352941,8,12,12,8,4,0.5,4,0.3333333333333333,0.0
5,0.1,95,0.010526315789473684,8,12,8,7,0,0.0,5,0.4166666666666667,0.25
5,0.1,115,0.008695652173913044,8,12,8,9,0,0.0,3,0.25,0.15
5,0.1,135,0.007407407407407408,8,12,10,9,2,0.25,3,0.25,0.05
5,0.1,185,0.005405405405405406,8,12,8,8,0,0.0,4,0.3333333333333333,0.2
5,0.2,45,0.022222222222222223,8,12,5,8,3,0.375,4,0.3333333333333333,0.35
5,0.2,65,0.015384615384615385,8,12,4,8,4,0.5,4,0.3333333333333333,0.4
5,0.2,85,0.011764705882352941,8,12,12,8,4,0.5,4,0.3333333333333333,0.0
5,0.2,95,0.010526315789473684,8,12,8,7,0,0.0,5,0.4166666666666667,0.25
5,0.2,115,0.008695652173913044,8,12,8,9,0,0.0,3,0.25,0.15
5,0.2,135,0.007407407407407408,8,12,10,9,2,0.25,3,0.25,0.05
5,0.2,185,0.005405405405405406,8,12,8,8,0,0.0,4,0.3333333333333333,0.2
5,0.3,45,0.022222222222222223,8,12,5,7,3,0.375,5,0.4166666666666667,0.4
5,0.3,65,0.015384615384615385,8,12,5,9,3,0.375,3,0.25,0.3
5,0.3,85,0.011764705882352941,8,12,9,9,1,0.125,3,0.25,0.1
5,0.3,95,0.010526315789473684,8,12,10,6,2,0.25,6,0.5,0.2
5,0.3,115,0.008695652173913044,8,12,6,11,2,0.25,1,0.08333333333333333,0.15
5,0.3,135,0.007407407407407408,8,12,7,10,1,0.125,2,0.16666666666666666,0.15
5,0.3,185,0.005405405405405406,8,12,8,7,0,0.0,5,0.4166666666666667,0.25
5,0.4,45,0.022222222222222223,8,12,3,9,5,0.625,3,0.25,0.4
5,0.4,65,0.015384615384615385,8,12,3,9,5,0.625,3,0.25,0.4
5,0.4,85,0.011764705882352941,8,12,6,11,2,0.25,1,0.08333333333333333,0.15
5,0.4,95,0.010526315789473684,8,12,8,9,0,0.0,3,0.25,0.15
5,0.4,115,0.008695652173913044,8,12,7,12,1,0.125,0,0.0,0.05
5,0.4,135,0.007407407407407408,8,12,7,11,1,0.125,1,0.08333333333333333,0.1
5,0.4,185,0.005405405405405406,8,12,5,7,3,0.375,5,0.4166666666666667,0.4
5,0.5,45,0.022222222222222223,8,12,3,8,5,0.625,4,0.3333333333333333,0.45
5,0.5,65,0.015384615384615385,8,12,1,8,7,0.875,4,0.3333333333333333,0.55
5,0.5,85,0.011764705882352941,8,12,5,8,3,0.375,4,0.3333333333333333,0.35
5,0.5,95,0.010526315789473684,8,12,7,8,1,0.125,4,0.3333333333333333,0.25
5,0.5,115,0.008695652173913044,8,12,7,10,1,0.125,2,0.16666666666666666,0.15
5,0.5,135,0.007407407407407408,8,12,7,8,1,0.125,4,0.3333333333333333,0.25
5,0.5,185,0.005405405405405406,8,12,4,6,4,0.5,6,0.5,0.5
10,0.1,45,0.022222222222222223,8,12,4,6,4,0.5,6,0.5,0.5
10,0.1,65,0.015384615384615385,8,12,6,6,2,0.25,6,0.5,0.4
10,0.1,85,0.011764705882352941,8,12,6,8,2,0.25,4,0.3333333333333333,0.3
10,0.1,95,0.010526315789473684,8,12,5,10,3,0.375,2,0.16666666666666666,0.25
10,0.1,115,0.008695652173913044,8,12,6,11,2,0.25,1,0.08333333333333333,0.15
10,0.1,135,0.007407407407407408,8,12,9,10,1,0.125,2,0.16666666666666666,0.05
10,0.1,185,0.005405405405405406,8,12,5,11,3,0.375,1,0.08333333333333333,0.2
10,0.2,45,0.022222222222222223,8,12,4,6,4,0.5,6,0.5,0.5
10,0.2,65,0.015384615384615385,8,12,6,6,2,0.25,6,0.5,0.4
10,0.2,85,0.011764705882352941,8,12,6,8,2,0.25,4,0.3333333333333333,0.3
10,0.2,95,0.010526315789473684,8,12,5,10,3,0.375,2,0.16666666666666666,0.25
10,0.2,115,0.008695652173913044,8,12,6,11,2,0.25,1,0.08333333333333333,0.15
10,0.2,135,0.007407407407407408,8,12,9,10,1,0.125,2,0.16666666666666666,0.05
10,0.2,185,0.005405405405405406,8,12,5,11,3,0.375,1,0.08333333333333333,0.2
10,0.3,45,0.022222222222222223,8,12,2,7,6,0.75,5,0.4166666666666667,0.55
10,0.3,65,0.015384615384615385,8,12,7,8,1,0.125,4,0.3333333333333333,0.25
10,0.3,85,0.011764705882352941,8,12,6,9,2,0.25,3,0.25,0.25
10,0.3,95,0.010526315789473684,8,12,7,7,1,0.125,5,0.4166666666666667,0.3
10,0.3,115,0.008695652173913044,8,12,3,10,5,0.625,2,0.16666666666666666,0.35
10,0.3,135,0.007407407407407408,8,12,4,10,4,0.5,2,0.16666666666666666,0.3
10,0.3,185,0.005405405405405406,8,12,5,10,3,0.375,2,0.16666666666666666,0.25
10,0.4,45,0.022222222222222223,8,12,3,6,5,0.625,6,0.5,0.55
10,0.4,65,0.015384615384615385,8,12,3,9,5,0.625,3,0.25,0.4
10,0.4,85,0.011764705882352941,8,12,7,9,1,0.125,3,0.25,0.2
10,0.4,95,0.010526315789473684,8,12,5,8,3,0.375,4,0.3333333333333333,0.35
10,0.4,115,0.008695652173913044,8,12,6,8,2,0.25,4,0.3333333333333333,0.3
10,0.4,135,0.007407407407407408,8,12,6,9,2,0.25,3,0.25,0.25
10,0.4,185,0.005405405405405406,8,12,4,10,4,0.5,2,0.16666666666666666,0.3
10,0.5,45,0.022222222222222223,8,12,3,5,5,0.625,7,0.5833333333333334,0.6
10,0.5,65,0.015384615384615385,8,12,2,9,6,0.75,3,0.25,0.45
10,0.5,85,0.011764705882352941,8,12,6,8,2,0.25,4,0.3333333333333333,0.3
10,0.5,95,0.010526315789473684,8,12,5,8,3,0.375,4,0.3333333333333333,0.35
10,0.5,115,0.008695652173913044,8,12,5,9,3,0.375,3,0.25,0.3
10,0.5,135,0.007407407407407408,8,12,4,10,4,0.5,2,0.16666666666666666,0.3
10,0.5,185,0.005405405405405406,8,12,4,8,4,0.5,4,0.3333333333333333,0.4
15,0.1,45,0.022222222222222223,8,12,7,4,1,0.125,8,0.6666666666666666,0.45
15,0.1,65,0.015384615384615385,8,12,8,7,0,0.0,5,0.4166666666666667,0.25
15,0.1,85,0.011764705882352941,8,12,7,9,1,0.125,3,0.25,0.2
15,0.1,95,0.010526315789473684,8,12,11,7,3,0.375,5,0.4166666666666667,0.1
15,0.1,115,0.008695652173913044,8,12,11,9,3,0.375,3,0.25,0.0
15,0.1,135,0.007407407407407408,8,12,12,9,4,0.5,3,0.25,0.05
15,0.1,185,0.005405405405405406,8,12,12,8,4,0.5,4,0.3333333333333333,0.0
15,0.2,45,0.022222222222222223,8,12,7,4,1,0.125,8,0.6666666666666666,0.45
15,0.2,65,0.015384615384615385,8,12,8,7,0,0.0,5,0.4166666666666667,0.25
15,0.2,85,0.011764705882352941,8,12,7,9,1,0.125,3,0.25,0.2
