Skip Frames;Confidence Config;Media;Factor_escala;Count In Real;Count Out Real;Count In Estimated;Count Out Estimated;Error In Abs;Error In Rel;Error Out Abs;Error Out Rel
5;0.35;155;0.0064516129032258064;8;12;5;9;3;0.375;3;0.25
5;0.35;175;0.005714285714285714;8;12;8;7;0;0.0;5;0.4166666666666667
5;0.35;215;0.004651162790697674;8;12;4;8;4;0.5;4;0.3333333333333333
5;0.35;245;0.004081632653061225;8;12;4;7;4;0.5;5;0.4166666666666667
5;0.4;45;0.022222222222222223;8;12;3;9;5;0.625;3;0.25
5;0.4;65;0.015384615384615385;8;12;3;9;5;0.625;3;0.25
5;0.4;75;0.013333333333333334;8;12;4;10;4;0.5;2;0.16666666666666666
5;0.4;85;0.011764705882352941;8;12;6;11;2;0.25;1;0.08333333333333333
5;0.4;95;0.010526315789473684;8;12;8;9;0;0.0;3;0.25
5;0.4;115;0.008695652173913044;8;12;7;12;1;0.125;0;0.0
5;0.4;127.5;0.00784313725490196;8;12;8;9;0;0.0;3;0.25
5;0.4;135;0.007407407407407408;8;12;7;11;1;0.125;1;0.08333333333333333
5;0.4;155;0.0064516129032258064;8;12;5;9;3;0.375;3;0.25
5;0.4;175;0.005714285714285714;8;12;6;7;2;0.25;5;0.4166666666666667
5;0.4;215;0.004651162790697674;8;12;4;8;4;0.5;4;0.3333333333333333
5;0.4;245;0.004081632653061225;8;12;3;8;5;0.625;4;0.3333333333333333
5;0.45;45;0.022222222222222223;8;12;3;8;5;0.625;4;0.3333333333333333
5;0.45;65;0.015384615384615385;8;12;4;8;4;0.5;4;0.3333333333333333
5;0.45;75;0.013333333333333334;8;12;4;9;4;0.5;3;0.25
5;0.45;85;0.011764705882352941;8;12;5;11;3;0.375;1;0.08333333333333333
5;0.45;95;0.010526315789473684;8;12;8;9;0;0.0;3;0.25
5;0.45;115;0.008695652173913044;8;12;7;13;1;0.125;1;0.08333333333333333
5;0.45;127.5;0.00784313725490196;8;12;8;9;0;0.0;3;0.25
5;0.45;135;0.007407407407407408;8;12;7;10;1;0.125;2;0.16666666666666666
5;0.45;155;0.0064516129032258064;8;12;6;9;2;0.25;3;0.25
5;0.45;175;0.005714285714285714;8;12;5;6;3;0.375;6;0.5
5;0.45;215;0.004651162790697674;8;12;3;9;5;0.625;3;0.25
5;0.45;245;0.004081632653061225;8;12;3;7;5;0.625;5;0.4166666666666667
5;0.5;45;0.022222222222222223;8;12;3;8;5;0.625;4;0.3333333333333333
5;0.5;65;0.015384615384615385;8;12;1;8;7;0.875;4;0.3333333333333333
5;0.5;75;0.013333333333333334;8;12;2;10;6;0.75;2;0.16666666666666666
5;0.5;85;0.011764705882352941;8;12;5;8;3;0.375;4;0.3333333333333333
5;0.5;95;0.010526315789473684;8;12;7;8;1;0.125;4;0.3333333333333333
5;0.5;115;0.008695652173913044;8;12;7;10;1;0.125;2;0.16666666666666666
5;0.5;127.5;0.00784313725490196;8;12;8;9;0;0.0;3;0.25
5;0.5;135;0.007407407407407408;8;12;7;8;1;0.125;4;0.3333333333333333
5;0.5;155;0.0064516129032258064;8;12;5;7;3;0.375;5;0.4166666666666667
5;0.5;175;0.005714285714285714;8;12;4;6;4;0.5;6;0.5
5;0.5;215;0.004651162790697674;8;12;3;8;5;0.625;4;0.3333333333333333
5;0.5;245;0.004081632653061225;8;12;3;7;5;0.625;5;0.4166666666666667
5;0.55;45;0.022222222222222223;8;12;4;6;4;0.5;6;0.5
5;0.55;65;0.015384615384615385;8;12;2;7;6;0.75;5;0.4166666666666667
5;0.55;75;0.013333333333333334;8;12;3;9;5;0.625;3;0.25
5;0.55;85;0.011764705882352941;8;12;5;10;3;0.375;2;0.16666666666666666
5;0.55;95;0.010526315789473684;8;12;9;6;1;0.125;6;0.5
5;0.55;115;0.008695652173913044;8;12;8;8;0;0.0;4;0.3333333333333333
5;0.55;127.5;0.00784313725490196;8;12;8;9;0;0.0;3;0.25
5;0.55;135;0.007407407407407408;8;12;7;7;1;0.125;5;0.4166666666666667
5;0.55;155;0.0064516129032258064;8;12;6;6;2;0.25;6;0.5
5;0.55;175;0.005714285714285714;8;12;4;6;4;0.5;6;0.5
5;0.55;215;0.004651162790697674;8;12;2;8;6;0.75;4;0.3333333333333333
5;0.55;245;0.004081632653061225;8;12;3;7;5;0.625;5;0.4166666666666667
5;0.6;45;0.022222222222222223;8;12;3;5;5;0.625;7;0.5833333333333334
5;0.6;65;0.015384615384615385;8;12;2;7;6;0.75;5;0.4166666666666667
5;0.6;75;0.013333333333333334;8;12;2;8;6;0.75;4;0.3333333333333333
5;0.6;85;0.011764705882352941;8;12;4;11;4;0.5;1;0.08333333333333333
5;0.6;95;0.010526315789473684;8;12;4;8;4;0.5;4;0.3333333333333333
5;0.6;115;0.008695652173913044;8;12;7;7;1;0.125;5;0.4166666666666667
5;0.6;127.5;0.00784313725490196;8;12;7;7;1;0.125;5;0.4166666666666667
5;0.6;135;0.007407407407407408;8;12;6;8;2;0.25;4;0.3333333333333333
5;0.6;155;0.0064516129032258064;8;12;3;6;5;0.625;6;0.5
5;0.6;175;0.005714285714285714;8;12;3;7;5;0.625;5;0.4166666666666667
5;0.6;215;0.004651162790697674;8;12;3;7;5;0.625;5;0.4166666666666667
5;0.6;245;0.004081632653061225;8;12;3;7;5;0.625;5;0.4166666666666667
5;0.65;45;0.022222222222222223;8;12;2;5;6;0.75;7;0.5833333333333334
5;0.65;65;0.015384615384615385;8;12;4;6;4;0.5;6;0.5
5;0.65;75;0.013333333333333334;8;12;2;9;6;0.75;3;0.25
5;0.65;85;0.011764705882352941;8;12;4;10;4;0.5;2;0.16666666666666666
5;0.65;95;0.010526315789473684;8;12;4;7;4;0.5;5;0.4166666666666667
5;0.65;115;0.008695652173913044;8;12;6;8;2;0.25;4;0.3333333333333333
5;0.65;127.5;0.00784313725490196;8;12;7;6;1;0.125;6;0.5
5;0.65;135;0.007407407407407408;8;12;5;7;3;0.375;5;0.4166666666666667
5;0.65;155;0.0064516129032258064;8;12;3;7;5;0.625;5;0.4166666666666667
5;0.65;175;0.005714285714285714;8;12;3;6;5;0.625;6;0.5
5;0.65;215;0.004651162790697674;8;12;3;7;5;0.625;5;0.4166666666666667
5;0.65;245;0.004081632653061225;8;12;3;7;5;0.625;5;0.4166666666666667
5;0.7;45;0.022222222222222223;8;12;2;5;6;0.75;7;0.5833333333333334
5;0.7;65;0.015384615384615385;8;12;3;5;5;0.625;7;0.5833333333333334
5;0.7;75;0.013333333333333334;8;12;4;7;4;0.5;5;0.4166666666666667
5;0.7;85;0.011764705882352941;8;12;3;8;5;0.625;4;0.3333333333333333
5;0.7;95;0.010526315789473684;8;12;3;6;5;0.625;6;0.5
5;0.7;115;0.008695652173913044;8;12;4;9;4;0.5;3;0.25
5;0.7;127.5;0.00784313725490196;8;12;5;8;3;0.375;4;0.3333333333333333
