Skip Frames,Confidence Config,Media,Factor_escala,Count In Real,Count Out Real,Count In Estimated,Count Out Estimated,Error In Abs,Error In Rel,Error Out Abs,Error Out Rel,Error Global,Detecciones
20,0.4,85,0.011764705882352941,6,6,5,6,1,0.16666666666666666,0,0.0,0.08333333333333333,10
20,0.4,95,0.010526315789473684,6,6,6,5,0,0.0,1,0.16666666666666666,0.08333333333333333,10
20,0.4,115,0.008695652173913044,6,6,5,6,1,0.16666666666666666,0,0.0,0.08333333333333333,10
20,0.4,127,0.007874015748031496,6,6,5,6,1,0.16666666666666666,0,0.0,0.08333333333333333,10
20,0.4,135,0.007407407407407408,6,6,5,6,1,0.16666666666666666,0,0.0,0.08333333333333333,10
25,0.1,85,0.011764705882352941,6,6,6,7,0,0.0,1,0.16666666666666666,0.08333333333333333,12
25,0.1,95,0.010526315789473684,6,6,8,6,2,0.3333333333333333,0,0.0,0.16666666666666666,13
25,0.1,115,0.008695652173913044,6,6,7,6,1,0.16666666666666666,0,0.0,0.08333333333333333,12
25,0.1,127,0.007874015748031496,6,6,6,5,0,0.0,1,0.16666666666666666,0.08333333333333333,10
25,0.1,135,0.007407407407407408,6,6,6,6,0,0.0,0,0.0,0.0,11
25,0.2,85,0.011764705882352941,6,6,6,7,0,0.0,1,0.16666666666666666,0.08333333333333333,12
25,0.2,95,0.010526315789473684,6,6,8,6,2,0.3333333333333333,0,0.0,0.16666666666666666,13
25,0.2,115,0.008695652173913044,6,6,7,6,1,0.16666666666666666,0,0.0,0.08333333333333333,12
25,0.2,127,0.007874015748031496,6,6,6,5,0,0.0,1,0.16666666666666666,0.08333333333333333,10
25,0.2,135,0.007407407407407408,6,6,6,6,0,0.0,0,0.0,0.0,11
25,0.3,85,0.011764705882352941,6,6,6,7,0,0.0,1,0.16666666666666666,0.08333333333333333,12
25,0.3,95,0.010526315789473684,6,6,8,6,2,0.3333333333333333,0,0.0,0.16666666666666666,13
25,0.3,115,0.008695652173913044,6,6,7,6,1,0.16666666666666666,0,0.0,0.08333333333333333,12
25,0.3,127,0.007874015748031496,6,6,6,6,0,0.0,0,0.0,0.0,11
25,0.3,135,0.007407407407407408,6,6,6,6,0,0.0,0,0.0,0.0,11
25,0.4,85,0.011764705882352941,6,6,6,7,0,0.0,1,0.16666666666666666,0.08333333333333333,12
25,0.4,95,0.010526315789473684,6,6,8,6,2,0.3333333333333333,0,0.0,0.16666666666666666,13
25,0.4,115,0.008695652173913044,6,6,7,6,1,0.16666666666666666,0,0.0,0.08333333333333333,12
25,0.4,127,0.007874015748031496,6,6,6,6,0,0.0,0,0.0,0.0,11
25,0.4,135,0.007407407407407408,6,6,6,6,0,0.0,0,0.0,0.0,11
30,0.1,85,0.011764705882352941,6,6,7,6,1,0.16666666666666666,0,0.0,0.08333333333333333,12
30,0.1,95,0.010526315789473684,6,6,6,6,0,0.0,0,0.0,0.0,11
30,0.1,115,0.008695652173913044,6,6,6,6,0,0.0,0,0.0,0.0,11
30,0.1,127,0.007874015748031496,6,6,5,5,1,0.16666666666666666,1,0.16666666666666666,0.16666666666666666,9
30,0.1,135,0.007407407407407408,6,6,5,6,1,0.16666666666666666,0,0.0,0.08333333333333333,10
30,0.2,85,0.011764705882352941,6,6,7,6,1,0.16666666666666666,0,0.0,0.08333333333333333,12
30,0.2,95,0.010526315789473684,6,6,6,6,0,0.0,0,0.0,0.0,11
30,0.2,115,0.008695652173913044,6,6,6,6,0,0.0,0,0.0,0.0,11
30,0.2,127,0.007874015748031496,6,6,5,5,1,0.16666666666666666,1,0.16666666666666666,0.16666666666666666,9
30,0.2,135,0.007407407407407408,6,6,5,6,1,0.16666666666666666,0,0.0,0.08333333333333333,10
30,0.3,85,0.011764705882352941,6,6,6,6,0,0.0,0,0.0,0.0,11
30,0.3,95,0.010526315789473684,6,6,6,6,0,0.0,0,0.0,0.0,11
30,0.3,115,0.008695652173913044,6,6,6,6,0,0.0,0,0.0,0.0,11
30,0.3,127,0.007874015748031496,6,6,5,6,1,0.16666666666666666,0,0.0,0.08333333333333333,10
30,0.3,135,0.007407407407407408,6,6,5,6,1,0.16666666666666666,0,0.0,0.08333333333333333,10
30,0.4,85,0.011764705882352941,6,6,6,6,0,0.0,0,0.0,0.0,11
30,0.4,95,0.010526315789473684,6,6,5,6,1,0.16666666666666666,0,0.0,0.08333333333333333,10
30,0.4,115,0.008695652173913044,6,6,5,6,1,0.16666666666666666,0,0.0,0.08333333333333333,10
30,0.4,127,0.007874015748031496,6,6,5,6,1,0.16666666666666666,0,0.0,0.08333333333333333,10
30,0.4,135,0.007407407407407408,6,6,5,6,1,0.16666666666666666,0,0.0,0.08333333333333333,10
